EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Distance Group,Salary_hike_Group
1119,26,0,rare,Research & Development,3,3,Life Sciences,1,Female,3,1,Research Scientist,4,Married,2061,1,0,21,4,1,0,1,5,3,1,0,0,0,Early Career,Near,medium
1120,38,0,rare,Sales,14,3,Life Sciences,3,Male,3,2,Sales Executive,2,Married,9924,0,0,11,3,4,1,10,3,3,9,8,7,7,Mid Career,Medium,low
1121,38,0,rare,Sales,16,3,Life Sciences,2,Female,3,2,Sales Executive,2,Single,4198,2,0,12,3,2,0,8,5,4,3,2,1,2,Mid Career,Far,low
1122,36,0,rare,Sales,1,4,Life Sciences,2,Female,3,2,Sales Executive,3,Single,6815,6,0,13,3,1,0,15,5,3,1,0,0,0,Mid Career,Near,low
1123,29,0,rare,Research & Development,3,1,Medical,2,Male,3,1,Laboratory Technician,1,Single,4723,1,1,18,3,4,0,10,3,3,10,9,1,5,Early Career,Near,medium
1124,35,0,rare,Research & Development,10,4,Medical,1,Female,3,2,Healthcare Representative,3,Single,6142,3,1,16,3,3,0,10,4,3,5,2,0,4,Early Career,Medium,medium
1125,39,0,rare,Sales,6,3,Medical,4,Male,4,3,Sales Executive,3,Married,8237,2,0,11,3,1,1,11,3,3,7,6,7,6,Mid Career,Medium,low
1126,29,0,Frequent,Research & Development,2,1,Life Sciences,1,Male,3,2,Healthcare Representative,4,Divorced,8853,1,0,19,3,4,1,6,0,4,6,4,1,3,Early Career,Near,medium
1127,50,0,rare,Sales,9,3,Marketing,3,Male,3,5,Manager,3,Married,19331,4,1,16,3,3,1,27,2,3,1,0,0,0,Senior,Medium,medium
1128,23,0,rare,Research & Development,10,3,Technical Degree,4,Male,4,1,Research Scientist,3,Married,2073,2,0,16,3,4,1,4,2,3,2,2,2,2,Young,Medium,medium
1129,36,0,Frequent,Research & Development,6,4,Life Sciences,1,Male,4,2,Laboratory Technician,1,Married,5562,3,1,13,3,4,1,9,3,3,3,2,0,2,Mid Career,Medium,low
1130,42,0,rare,Research & Development,9,2,Other,4,Male,2,5,Manager,4,Single,19613,8,0,22,4,4,0,24,2,3,1,0,0,1,Mid Career,Medium,high
1131,35,0,rare,Research & Development,28,3,Life Sciences,2,Male,4,2,Laboratory Technician,3,Married,3407,1,0,17,3,4,2,10,3,2,10,9,6,8,Early Career,Far,medium
1132,34,0,Frequent,Research & Development,10,4,Technical Degree,4,Male,2,2,Healthcare Representative,3,Married,5063,1,0,14,3,2,1,8,3,2,8,2,7,7,Early Career,Medium,low
1133,40,0,rare,Sales,14,2,Life Sciences,4,Female,3,2,Sales Executive,1,Married,4639,1,0,15,3,3,1,5,2,3,5,4,1,2,Mid Career,Medium,low
1134,43,0,rare,Research & Development,27,3,Technical Degree,4,Male,4,1,Laboratory Technician,2,Divorced,4876,5,0,12,3,3,1,8,0,3,6,4,0,2,Mid Career,Far,low
1135,35,0,rare,Research & Development,7,2,Life Sciences,3,Male,2,1,Laboratory Technician,4,Married,2690,1,0,18,3,4,1,1,5,2,1,0,0,1,Early Career,Medium,medium
1136,46,0,rare,Sales,1,4,Life Sciences,4,Male,4,4,Manager,1,Single,17567,1,0,15,3,2,0,27,5,1,26,0,0,12,Senior,Near,low
1137,28,1,rare,Research & Development,24,3,Medical,3,Male,3,1,Laboratory Technician,2,Married,2408,1,1,17,3,3,3,1,3,3,1,1,0,0,Early Career,Far,medium
1138,22,0,Non,Research & Development,26,2,Other,2,Female,2,1,Research Scientist,3,Married,2814,1,1,14,3,2,0,4,2,2,4,2,1,3,Young,Far,low
1139,50,0,Frequent,Research & Development,20,5,Medical,2,Male,3,4,Healthcare Representative,3,Married,11245,2,1,15,3,3,1,32,3,3,30,8,12,13,Senior,Far,low
1140,32,0,rare,Research & Development,5,4,Other,2,Female,4,1,Research Scientist,4,Married,3312,3,0,17,3,4,2,6,3,3,3,2,0,2,Early Career,Near,medium
1141,44,0,rare,Research & Development,7,3,Medical,2,Female,3,5,Research Director,4,Divorced,19049,0,1,14,3,4,1,23,4,2,22,7,1,10,Mid Career,Medium,low
1142,30,0,rare,Research & Development,7,3,Medical,2,Male,2,1,Research Scientist,2,Married,2141,1,0,12,3,2,1,6,3,2,6,4,1,1,Early Career,Medium,low
1143,45,0,rare,Research & Development,5,5,Medical,3,Female,1,2,Laboratory Technician,1,Single,5769,1,1,14,3,1,0,10,3,3,10,7,1,4,Mid Career,Near,low
1144,45,0,Non,Sales,26,3,Marketing,1,Male,2,2,Sales Executive,1,Married,4385,1,0,15,3,1,1,10,2,3,10,7,4,5,Mid Career,Far,low
1145,31,0,Frequent,Sales,2,4,Other,4,Male,3,2,Sales Executive,1,Single,5332,7,0,13,3,4,0,10,3,3,5,2,0,3,Early Career,Near,low
1146,36,0,rare,Research & Development,12,4,Life Sciences,3,Female,3,2,Manufacturing Director,3,Married,4663,9,1,12,3,2,2,7,2,3,3,2,1,1,Mid Career,Medium,low
1147,34,0,Frequent,Research & Development,10,4,Life Sciences,3,Male,4,2,Manufacturing Director,4,Divorced,4724,1,0,13,3,1,1,9,3,3,9,7,7,2,Early Career,Medium,low
1148,49,0,rare,Research & Development,25,4,Life Sciences,3,Female,3,1,Laboratory Technician,1,Married,3211,1,0,14,3,4,1,10,3,2,9,6,1,4,Senior,Far,low
1149,39,0,rare,Research & Development,10,5,Medical,2,Male,3,2,Manufacturing Director,1,Married,5377,2,0,13,3,4,3,10,3,3,7,7,7,7,Mid Career,Medium,low
1150,27,0,rare,Research & Development,19,3,Other,4,Male,2,1,Laboratory Technician,1,Divorced,4066,1,0,11,3,1,2,7,3,3,7,7,0,7,Early Career,Far,low
1151,35,0,rare,Research & Development,18,5,Life Sciences,2,Male,4,2,Research Scientist,1,Married,5208,1,0,11,3,4,0,16,2,3,16,15,1,10,Early Career,Far,low
1152,28,0,rare,Research & Development,27,3,Medical,2,Female,1,2,Manufacturing Director,1,Divorced,4877,0,0,21,4,2,1,6,5,2,5,3,0,0,Early Career,Far,medium
1153,21,0,rare,Research & Development,5,1,Medical,3,Male,3,1,Research Scientist,4,Single,3117,1,0,18,3,3,0,3,2,3,2,2,2,2,Young,Near,medium
1154,18,1,Frequent,Sales,3,2,Medical,2,Female,3,1,Sales Representative,4,Single,1569,1,1,12,3,3,0,0,2,4,0,0,0,0,Young,Near,low
1155,47,0,rare,Human Resources,26,4,Life Sciences,4,Female,3,5,Manager,3,Married,19658,3,0,11,3,3,1,27,2,3,5,2,1,0,Senior,Far,low
1156,39,0,rare,Research & Development,3,2,Medical,3,Male,2,2,Laboratory Technician,3,Divorced,3069,0,0,15,3,4,1,11,3,3,10,8,0,7,Mid Career,Near,low
1157,40,0,rare,Research & Development,15,3,Life Sciences,1,Female,2,3,Manufacturing Director,3,Married,10435,1,0,13,3,4,2,18,2,3,18,15,14,12,Mid Career,Medium,low
1158,35,0,Non,Research & Development,8,4,Life Sciences,3,Female,3,2,Healthcare Representative,3,Married,4148,1,0,12,3,4,1,15,5,3,14,11,2,9,Early Career,Medium,low
1159,37,0,rare,Research & Development,19,3,Life Sciences,3,Male,3,2,Manufacturing Director,3,Married,5768,3,0,17,3,1,3,9,2,2,4,3,0,2,Mid Career,Far,medium
1160,39,0,Frequent,Research & Development,4,3,Medical,1,Female,3,2,Manufacturing Director,3,Single,5042,0,0,13,3,4,0,10,2,1,9,2,3,8,Mid Career,Near,low
1161,45,0,rare,Research & Development,2,2,Other,4,Female,2,2,Manufacturing Director,4,Divorced,5770,1,0,19,3,1,2,10,3,3,10,7,3,9,Mid Career,Near,medium
1162,38,0,rare,Research & Development,2,2,Medical,4,Female,2,3,Manufacturing Director,3,Married,7756,3,1,19,3,4,1,10,6,4,5,4,0,2,Mid Career,Near,medium
1163,35,1,rare,Sales,10,3,Medical,4,Male,2,3,Sales Executive,1,Married,10306,9,0,17,3,3,0,15,3,3,13,12,6,0,Early Career,Medium,medium
1164,37,0,rare,Research & Development,10,3,Medical,2,Female,3,1,Research Scientist,2,Married,3936,1,0,11,3,1,1,8,2,1,8,4,7,7,Mid Career,Medium,low
1165,40,0,rare,Research & Development,16,3,Life Sciences,3,Female,3,3,Manufacturing Director,4,Single,7945,6,1,15,3,4,0,18,2,2,4,2,3,3,Mid Career,Far,low
1166,44,0,Frequent,Human Resources,1,5,Human Resources,1,Male,3,2,Human Resources,4,Married,5743,4,1,11,3,3,0,14,3,3,10,7,0,2,Mid Career,Near,low
1167,48,0,Frequent,Research & Development,4,5,Medical,3,Male,2,4,Manager,4,Married,15202,2,0,25,4,2,1,23,3,3,2,2,2,2,Senior,Near,high
1168,35,1,rare,Sales,15,2,Medical,1,Male,1,2,Sales Executive,4,Divorced,5440,6,1,14,3,4,2,7,2,2,2,2,2,2,Early Career,Medium,low
1169,24,0,Frequent,Research & Development,2,1,Technical Degree,1,Female,3,1,Research Scientist,4,Single,3760,1,1,13,3,3,0,6,2,3,6,3,1,3,Young,Near,low
1170,27,0,rare,Research & Development,8,3,Medical,2,Female,4,1,Research Scientist,3,Married,3517,7,0,17,3,1,0,5,0,3,3,2,0,2,Early Career,Medium,medium
1171,27,0,Frequent,Research & Development,2,3,Medical,4,Male,3,1,Research Scientist,4,Single,2580,2,0,13,3,3,0,6,0,2,4,2,1,2,Early Career,Near,low
1172,40,1,rare,Research & Development,7,3,Life Sciences,1,Male,3,1,Laboratory Technician,1,Single,2166,3,1,14,3,2,0,10,3,1,4,2,0,3,Mid Career,Medium,low
1173,29,0,rare,Sales,10,3,Medical,3,Male,2,2,Sales Executive,3,Single,5869,9,0,11,3,3,0,8,2,3,5,2,1,4,Early Career,Medium,low
1174,36,0,rare,Research & Development,5,4,Life Sciences,2,Female,3,3,Healthcare Representative,1,Married,8008,4,0,12,3,3,2,9,6,3,3,2,0,2,Mid Career,Near,low
1175,25,0,Frequent,Research & Development,2,1,Life Sciences,4,Male,4,2,Manufacturing Director,3,Divorced,5206,1,0,17,3,3,2,7,6,3,7,7,0,7,Young,Near,medium
1176,39,0,rare,Research & Development,12,3,Medical,4,Male,3,2,Manufacturing Director,2,Married,5295,4,0,21,4,3,0,7,3,3,5,4,1,0,Mid Career,Medium,medium
1177,49,0,rare,Research & Development,22,4,Other,1,Female,3,4,Research Director,2,Married,16413,3,0,16,3,2,2,27,2,3,4,2,1,2,Senior,Far,medium
1178,50,0,rare,Research & Development,17,5,Life Sciences,4,Female,2,3,Research Director,1,Divorced,13269,5,0,15,3,3,3,19,3,3,14,11,1,11,Senior,Far,low
1179,20,0,rare,Sales,2,3,Medical,3,Female,3,1,Sales Representative,3,Single,2783,1,0,19,3,1,0,2,3,3,2,2,2,2,Young,Near,medium
1180,34,0,rare,Research & Development,3,3,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,0,12,3,3,1,11,2,3,11,8,7,9,Early Career,Near,low
1181,36,0,rare,Research & Development,7,3,Life Sciences,1,Male,3,1,Laboratory Technician,2,Single,2013,2,0,11,3,3,0,15,4,3,4,3,1,3,Mid Career,Medium,low
1182,49,0,rare,Research & Development,6,1,Life Sciences,3,Female,2,4,Healthcare Representative,3,Married,13966,2,1,19,3,2,1,30,3,3,15,11,2,12,Senior,Medium,medium
1183,36,0,Non,Research & Development,1,4,Medical,4,Female,2,2,Manufacturing Director,3,Married,4374,0,0,15,3,3,0,4,6,3,3,2,1,2,Mid Career,Near,low
1184,36,0,rare,Research & Development,3,2,Life Sciences,4,Male,4,2,Healthcare Representative,1,Divorced,6842,6,0,20,4,1,1,13,3,3,5,4,0,4,Mid Career,Near,medium
1185,54,0,rare,Research & Development,22,5,Medical,2,Female,3,4,Manager,3,Married,17426,3,0,25,4,3,1,36,6,3,10,8,4,7,Senior,Far,high
1186,43,0,rare,Research & Development,15,2,Life Sciences,3,Male,2,4,Research Director,3,Married,17603,1,0,24,4,1,1,14,3,3,14,10,6,11,Mid Career,Medium,high
1187,35,1,Frequent,Sales,12,4,Other,4,Male,3,2,Sales Executive,4,Single,4581,3,1,24,4,1,0,13,2,4,11,9,6,7,Early Career,Medium,high
1188,38,0,Frequent,Research & Development,1,3,Life Sciences,4,Male,3,2,Research Scientist,4,Married,4735,7,0,15,3,4,2,19,4,4,13,11,2,9,Mid Career,Near,low
1189,29,0,rare,Sales,5,3,Medical,1,Male,2,2,Sales Executive,2,Divorced,4187,1,1,13,3,2,1,10,3,2,10,0,0,9,Early Career,Near,low
1190,33,0,rare,Sales,2,4,Medical,4,Male,3,2,Sales Executive,4,Divorced,5505,1,0,14,3,3,2,6,5,3,6,2,0,4,Early Career,Near,low
1191,32,0,rare,Research & Development,2,3,Medical,4,Male,3,2,Research Scientist,2,Divorced,5470,0,0,13,3,3,2,10,4,2,9,5,1,6,Early Career,Near,low
1192,31,0,rare,Sales,5,4,Life Sciences,1,Female,3,2,Sales Executive,4,Married,5476,1,0,11,3,1,2,10,2,3,10,0,0,2,Early Career,Near,low
1193,49,0,rare,Research & Development,16,3,Medical,4,Female,3,1,Laboratory Technician,1,Divorced,2587,4,1,16,3,2,1,17,2,2,2,2,2,2,Senior,Far,medium
1194,38,0,Frequent,Research & Development,2,3,Medical,4,Female,2,1,Laboratory Technician,2,Single,2440,1,0,22,4,2,0,4,3,3,4,3,3,3,Mid Career,Near,high
1195,47,0,rare,Sales,2,4,Life Sciences,2,Female,4,4,Manager,2,Divorced,15972,6,0,14,3,3,3,29,2,3,3,2,1,2,Senior,Near,low
1196,49,0,rare,Research & Development,1,3,Life Sciences,3,Male,3,4,Manager,3,Single,15379,4,0,14,3,1,0,23,2,3,8,7,0,0,Senior,Near,low
1197,41,0,rare,Sales,23,2,Life Sciences,4,Male,3,3,Sales Executive,3,Single,7082,3,1,16,3,4,0,21,2,3,2,0,0,2,Mid Career,Far,medium
1198,20,0,rare,Sales,9,1,Life Sciences,4,Male,3,1,Sales Representative,1,Single,2728,1,0,11,3,1,0,2,3,3,2,2,0,2,Young,Medium,low
1199,33,0,Non,Sales,16,3,Life Sciences,3,Female,3,2,Sales Executive,4,Divorced,5368,1,1,25,4,3,1,7,2,3,6,5,1,2,Early Career,Far,high
1200,36,0,rare,Research & Development,26,4,Life Sciences,1,Male,3,2,Healthcare Representative,3,Married,5347,6,0,14,3,2,2,10,2,2,3,2,0,2,Mid Career,Far,low
1201,44,0,rare,Human Resources,1,3,Life Sciences,3,Female,3,1,Human Resources,4,Divorced,3195,4,1,18,3,1,3,8,2,3,2,2,2,2,Mid Career,Near,medium
1202,23,1,rare,Research & Development,8,1,Medical,4,Male,2,1,Laboratory Technician,3,Single,3989,1,1,11,3,1,0,5,2,3,5,4,1,2,Young,Medium,low
1203,38,0,rare,Research & Development,4,2,Medical,4,Female,3,1,Laboratory Technician,3,Married,3306,7,0,19,3,4,1,7,5,2,0,0,0,0,Mid Career,Near,medium
1204,53,0,rare,Research & Development,24,4,Medical,2,Male,4,3,Healthcare Representative,4,Married,7005,3,0,15,3,3,0,11,2,3,4,3,1,2,Senior,Far,low
1205,48,1,Frequent,Sales,7,2,Medical,4,Female,3,1,Sales Representative,3,Married,2655,2,1,11,3,3,2,19,3,3,9,7,7,7,Senior,Medium,low
1206,32,1,rare,Research & Development,2,4,Life Sciences,4,Male,3,1,Laboratory Technician,2,Single,1393,1,0,12,3,1,0,1,2,3,1,0,0,0,Early Career,Near,low
1207,26,0,Non,Research & Development,7,3,Medical,4,Male,3,1,Laboratory Technician,4,Single,2570,1,0,20,4,3,0,7,5,3,7,7,5,7,Early Career,Medium,medium
1208,55,0,rare,Research & Development,22,3,Technical Degree,1,Male,2,1,Research Scientist,2,Divorced,3537,5,0,12,3,4,1,8,1,3,4,2,1,2,Senior,Far,low
1209,34,0,rare,Research & Development,5,2,Medical,2,Male,2,2,Laboratory Technician,4,Married,3986,1,0,14,3,3,1,15,3,4,15,10,4,13,Early Career,Near,low
1210,60,0,rare,Research & Development,1,4,Medical,3,Male,1,3,Healthcare Representative,4,Divorced,10883,3,0,20,4,3,1,19,2,4,1,0,0,0,Late Career,Near,medium
1211,33,0,rare,Research & Development,21,3,Medical,2,Male,4,1,Laboratory Technician,2,Married,2028,1,0,18,3,4,3,14,6,3,14,11,2,13,Early Career,Far,medium
1212,37,0,Frequent,Sales,1,4,Medical,3,Male,1,2,Sales Executive,4,Divorced,9525,1,0,14,3,3,2,6,2,2,6,3,1,3,Mid Career,Near,low
1213,34,0,rare,Research & Development,19,3,Life Sciences,2,Female,2,1,Research Scientist,4,Married,2929,1,0,12,3,2,0,10,3,3,10,9,8,7,Early Career,Far,low
1214,23,1,rare,Sales,7,3,Life Sciences,3,Male,3,1,Sales Representative,4,Divorced,2275,1,1,21,4,2,1,3,2,3,3,2,0,2,Young,Medium,medium
1215,44,0,rare,Research & Development,2,3,Life Sciences,3,Female,4,3,Healthcare Representative,4,Married,7879,1,1,19,3,2,1,9,2,3,8,7,6,7,Mid Career,Near,medium
1216,35,0,Frequent,Research & Development,2,4,Medical,1,Male,2,1,Research Scientist,4,Single,4930,0,1,14,3,3,0,6,2,4,5,4,1,4,Early Career,Near,low
1217,43,0,rare,Sales,2,3,Medical,4,Male,3,2,Sales Executive,4,Married,7847,1,1,17,3,1,1,10,3,3,10,9,8,8,Mid Career,Near,medium
1218,24,0,rare,Research & Development,9,3,Medical,3,Male,4,1,Research Scientist,3,Married,4401,1,0,16,3,4,1,5,1,3,5,3,0,4,Young,Medium,medium
1219,41,0,rare,Sales,6,3,Marketing,4,Male,3,3,Sales Executive,3,Single,9241,1,0,12,3,2,0,10,3,3,10,8,8,7,Mid Career,Medium,low
1220,29,0,rare,Research & Development,9,4,Medical,4,Female,3,1,Laboratory Technician,3,Married,2974,9,0,17,3,3,1,9,2,3,5,3,1,2,Early Career,Medium,medium
1221,36,0,rare,Sales,2,4,Life Sciences,3,Female,3,2,Sales Representative,4,Single,4502,3,0,15,3,3,0,17,2,2,13,7,6,7,Mid Career,Near,low
1222,45,0,Non,Research & Development,1,1,Life Sciences,3,Male,2,3,Healthcare Representative,3,Married,10748,3,0,23,4,4,1,25,3,2,23,15,14,4,Mid Career,Near,high
1223,24,1,rare,Human Resources,22,1,Human Resources,4,Male,1,1,Human Resources,3,Married,1555,1,0,11,3,3,1,1,2,3,1,0,0,0,Young,Far,low
1224,47,1,Frequent,Sales,9,3,Life Sciences,3,Male,1,4,Sales Executive,3,Married,12936,7,0,11,3,3,0,25,3,1,23,5,14,10,Senior,Medium,low
1225,26,0,rare,Research & Development,17,4,Medical,4,Male,1,1,Laboratory Technician,3,Married,2305,1,0,15,3,3,3,3,3,4,3,2,0,2,Early Career,Far,low
1226,45,0,rare,Research & Development,28,2,Technical Degree,4,Female,2,4,Research Director,2,Single,16704,1,0,11,3,3,0,21,2,3,21,6,8,6,Mid Career,Far,low
1227,32,0,Frequent,Research & Development,10,3,Life Sciences,1,Male,3,1,Research Scientist,3,Married,3433,6,0,13,3,1,1,10,3,2,5,2,1,3,Early Career,Medium,low
1228,31,0,rare,Research & Development,2,4,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,3477,1,0,14,3,4,1,6,2,4,5,2,0,3,Early Career,Near,low
1229,41,0,Non,Human Resources,4,3,Human Resources,3,Male,1,2,Human Resources,2,Married,6430,6,0,19,3,2,1,10,4,3,3,2,1,2,Mid Career,Near,medium
1230,40,0,rare,Research & Development,8,2,Life Sciences,2,Female,3,2,Manufacturing Director,1,Married,6516,2,1,16,3,2,1,18,3,3,1,0,0,0,Mid Career,Medium,medium
1231,24,0,rare,Research & Development,29,1,Medical,2,Male,3,1,Laboratory Technician,1,Divorced,3907,1,0,13,3,2,3,6,2,4,6,2,1,2,Young,Far,low
1232,46,0,rare,Research & Development,13,4,Life Sciences,3,Male,3,2,Healthcare Representative,2,Single,5562,6,0,14,3,4,0,19,3,3,10,7,0,9,Senior,Medium,low
1233,35,0,rare,Research & Development,27,4,Life Sciences,4,Male,3,2,Manufacturing Director,3,Married,6883,2,0,16,3,2,1,17,3,3,7,7,0,7,Early Career,Far,medium
1234,30,0,rare,Research & Development,16,1,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2862,1,0,12,3,2,1,10,2,2,10,0,0,8,Early Career,Far,low
1235,47,0,Non,Sales,2,4,Marketing,3,Male,3,2,Sales Executive,2,Married,4978,7,0,11,3,4,1,4,3,1,1,0,0,0,Senior,Near,low
1236,46,0,rare,Sales,2,3,Life Sciences,3,Male,3,3,Sales Executive,4,Divorced,10368,4,1,12,3,2,1,13,5,2,10,6,0,3,Senior,Near,low
1237,36,1,rare,Sales,13,5,Marketing,2,Male,2,2,Sales Executive,1,Divorced,6134,5,1,13,3,2,3,16,3,3,2,2,2,2,Mid Career,Medium,low
1238,32,1,rare,Sales,1,2,Life Sciences,1,Male,1,2,Sales Executive,2,Single,6735,6,0,15,3,2,0,10,2,3,0,0,0,0,Early Career,Near,low
1239,23,0,rare,Research & Development,4,1,Medical,3,Female,3,1,Laboratory Technician,2,Single,3295,1,0,13,3,3,0,3,3,1,3,2,1,2,Young,Near,low
1240,31,0,Frequent,Research & Development,24,1,Technical Degree,4,Female,3,2,Manufacturing Director,4,Single,5238,2,0,20,4,4,0,9,3,2,5,4,1,4,Early Career,Far,medium
1241,39,0,Non,Research & Development,1,3,Life Sciences,4,Male,3,2,Laboratory Technician,4,Married,6472,1,1,15,3,4,1,9,2,3,9,8,5,8,Mid Career,Near,low
1242,32,0,rare,Sales,19,3,Life Sciences,4,Male,1,3,Sales Executive,3,Married,9610,3,0,13,3,3,1,10,2,1,4,3,0,2,Early Career,Far,low
1243,40,0,rare,Sales,7,4,Medical,2,Male,3,5,Manager,2,Single,19833,1,0,14,3,2,0,21,3,2,21,8,12,8,Mid Career,Medium,low
1244,45,0,rare,Human Resources,4,3,Life Sciences,3,Female,1,3,Human Resources,3,Married,9756,4,0,21,4,3,2,9,2,4,5,0,0,3,Mid Career,Near,medium
1245,30,0,Frequent,Research & Development,2,4,Technical Degree,4,Female,2,1,Research Scientist,1,Single,4968,0,0,16,3,4,0,10,2,3,9,7,0,7,Early Career,Near,medium
1246,24,0,Frequent,Human Resources,10,3,Medical,1,Male,3,1,Human Resources,4,Married,2145,0,0,14,3,4,1,3,2,3,2,2,2,1,Young,Medium,low
1247,30,1,Frequent,Human Resources,8,3,Human Resources,3,Female,2,1,Human Resources,4,Divorced,2180,6,0,11,3,3,1,6,0,2,4,2,1,2,Early Career,Medium,low
1248,31,0,rare,Sales,5,3,Technical Degree,1,Male,3,2,Sales Executive,3,Married,8346,1,0,19,3,3,1,6,3,3,5,2,0,2,Early Career,Near,medium
1249,27,0,rare,Research & Development,8,3,Medical,3,Female,3,1,Research Scientist,4,Single,3445,1,0,11,3,3,0,6,5,2,6,2,1,4,Early Career,Medium,low
1250,29,1,rare,Sales,9,3,Marketing,2,Female,1,1,Sales Representative,2,Single,2760,1,0,13,3,3,0,2,3,3,2,2,2,2,Early Career,Medium,low
1251,29,0,Frequent,Research & Development,1,3,Life Sciences,4,Male,4,2,Healthcare Representative,3,Single,6294,8,1,12,3,4,0,10,5,4,3,2,0,2,Early Career,Near,low
1252,30,0,rare,Sales,15,2,Marketing,3,Male,2,3,Sales Executive,1,Divorced,7140,2,0,11,3,1,1,12,2,3,7,7,1,7,Early Career,Medium,low
1253,34,0,rare,Research & Development,2,4,Medical,4,Male,4,1,Research Scientist,4,Married,2932,0,1,14,3,1,3,6,3,3,5,0,1,2,Early Career,Near,low
1254,33,0,Non,Sales,2,3,Marketing,4,Female,3,2,Sales Executive,2,Single,5147,8,0,15,3,4,0,13,2,2,11,7,1,7,Early Career,Near,low
1255,49,0,rare,Sales,11,4,Marketing,4,Female,3,2,Sales Executive,4,Single,4507,3,0,12,3,3,0,8,1,4,5,1,0,4,Senior,Medium,low
1256,33,1,rare,Sales,16,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,8564,2,1,20,4,3,0,11,2,2,0,0,0,0,Early Career,Far,medium
1257,38,0,Frequent,Research & Development,2,2,Medical,3,Female,2,1,Laboratory Technician,2,Married,2468,4,0,14,3,2,1,9,4,2,6,1,0,5,Mid Career,Near,low
1258,31,1,rare,Sales,16,4,Marketing,1,Male,3,3,Sales Executive,3,Married,8161,2,0,13,3,1,3,10,2,3,1,0,0,0,Early Career,Far,low
1259,29,0,rare,Research & Development,4,3,Technical Degree,4,Female,2,1,Research Scientist,1,Divorced,2109,1,0,13,3,3,1,1,2,3,1,0,0,0,Early Career,Near,low
1260,30,0,rare,Research & Development,16,3,Life Sciences,3,Male,4,2,Healthcare Representative,3,Married,5294,3,0,16,3,3,1,10,3,3,7,0,1,7,Early Career,Far,medium
1261,32,0,Non,Research & Development,5,4,Technical Degree,2,Male,3,1,Research Scientist,2,Single,2718,2,0,14,3,2,0,12,3,3,7,7,0,7,Early Career,Near,low
1262,38,0,rare,Research & Development,18,3,Medical,2,Male,1,2,Healthcare Representative,4,Married,5811,3,1,16,3,3,1,15,2,3,1,0,1,0,Mid Career,Far,medium
1263,43,1,Frequent,Research & Development,17,3,Technical Degree,3,Male,2,1,Research Scientist,3,Married,2437,9,1,16,3,4,1,6,4,3,1,0,0,0,Mid Career,Far,medium
1264,42,0,rare,Research & Development,12,3,Medical,2,Male,3,1,Laboratory Technician,2,Divorced,2766,8,0,22,4,2,3,7,6,2,5,3,0,4,Mid Career,Medium,high
1265,55,0,rare,Research & Development,2,3,Medical,3,Male,2,5,Research Director,1,Married,19038,8,0,12,3,2,3,34,2,3,1,0,0,0,Senior,Near,low
1266,33,0,Non,Research & Development,4,3,Technical Degree,4,Male,3,2,Research Scientist,2,Divorced,3055,5,0,15,3,4,2,11,2,2,9,8,1,7,Early Career,Near,low
1267,41,0,rare,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Divorced,2289,1,0,20,4,2,2,5,2,3,5,3,0,4,Mid Career,Medium,medium
1268,34,0,Non,Sales,10,3,Life Sciences,4,Male,3,2,Sales Executive,3,Divorced,4001,1,1,14,3,3,1,15,3,3,15,14,0,7,Early Career,Medium,low
1269,53,0,Non,Research & Development,1,4,Medical,1,Female,2,4,Manufacturing Director,3,Married,12965,4,1,20,4,4,3,27,2,2,3,2,0,2,Senior,Near,medium
1270,43,0,rare,Human Resources,2,3,Life Sciences,2,Male,3,1,Human Resources,4,Single,3539,0,0,13,3,2,0,10,5,3,9,7,1,8,Mid Career,Near,low
1271,34,0,rare,Sales,3,2,Life Sciences,4,Female,1,2,Sales Executive,4,Single,6029,5,0,12,3,1,0,6,3,3,2,2,2,2,Early Career,Near,low
1272,21,1,rare,Sales,7,1,Marketing,2,Male,3,1,Sales Representative,2,Single,2679,1,0,13,3,2,0,1,3,3,1,0,1,0,Young,Medium,low
1273,38,0,rare,Research & Development,6,2,Other,4,Female,2,1,Laboratory Technician,3,Married,3702,1,0,11,3,2,1,5,3,3,5,4,0,4,Mid Career,Medium,low
1274,22,1,rare,Research & Development,8,1,Medical,3,Female,3,1,Laboratory Technician,1,Married,2398,1,1,17,3,3,0,1,6,3,1,0,0,0,Young,Medium,medium
1275,31,0,rare,Sales,29,4,Marketing,1,Female,2,2,Sales Executive,4,Married,5468,1,0,14,3,1,2,13,3,3,12,7,5,7,Early Career,Far,low
1276,51,0,rare,Research & Development,3,3,Technical Degree,1,Female,3,3,Manager,3,Married,13116,2,0,11,3,4,0,15,2,3,2,2,2,2,Senior,Near,low
